ID,facilitycode,district,dcode,name,lab,ftype,managedby,resultdeliverymode,deliverymode,smsprinter,resultsdeliverysponsor,contactperson,contacttelephone,contactperson2,contacttelephone2,smsprinterserialno,smsprinterversion,smsinstalldate,smsprinterno,PUK,PIN,simcardno,network,telephone,fax,email,PostalAddress,physicaladdress,ContactEmail,Flag,telephone2
"0101","0101","5","Chitipa","Chambo Health Centre","3","Health Center","CHAM","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","","","","","","","","1",""
"0102","0102","5","Chitipa","Chitipa District Hospital","3","District Hospital","MOH","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","",\N,\N,\N,\N,\N,\N,"1",\N
"0103","0103","5","Chitipa","Ifumbo Health Centre","3","Health Center","MOH/LG","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","","","","","","","","1",""
"0104","0104","5","Chitipa","Kameme Health Centre","3","Health Center","MOH","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","","","","","","","","1",""
"0105","0105","5","Chitipa","Kapenda Health Centre","3","Health Center","MOH","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","","","","","","","","1",""
"0106","0106","5","Chitipa","Kaseye Health Centre","3","Health Center","CHAM","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","","","","","","","","1",""
"0107","0107","5","Chitipa","Misuku Health Centre","3","Health Center","MOH","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","","","","","","","","1",""
"0108","0108","5","Chitipa","Nthalire Health Centre","3","Health Center","MOH/LG","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","","","","","","","","1",""
"0109","0109","5","Chitipa","Wenya Health Centre","3","Health Center","MOH","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","","","","","","","","1",""
"0201","0201","8","Karonga","Chilumba Rural Hospital","3","Rural Hospital","MOH","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","",\N,\N,\N,\N,\N,\N,"1",\N
"0202","0202","8","Karonga","Fulirwa Health Centre","3","Health Center","MOH","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","","","","","","","","1",""
"0203","0203","8","Karonga","Hara Dispensary","3","Dispensary","MOH","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","",\N,\N,\N,\N,\N,\N,"1",\N
"0204","0204","8","Karonga","Iponga Health Centre","3","Health Center","MOHP","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","","","","","","","","1",""
"0205","0205","8","Karonga","Kaporo Rural Hospital","3","Rural Hospital","MOHP","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","",\N,\N,\N,\N,\N,\N,"1",\N
"0206","0206","8","Karonga","Karonga District Hospital","3","District Hospital","MOH","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","",\N,\N,\N,\N,\N,\N,"1",\N
"0207","0207","8","Karonga","Lupembe Health Centre","3","Health Center","LG","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","","","","","","","","1",""
"0208","0208","8","Karonga","Lwezga Health Centre","3","Health Center","LG","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","","","","","","","","1",""
"0209","0209","8","Karonga","Mpata Health Centre","3","Health Center","MOH","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","","","","","","","","1",""
"0210","0210","8","Karonga","Ngana Health Centre","3","Health Center","MOH","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","","","","","","","","1",""
"0211","0211","8","Karonga","Nyungwe Health Centre","3","Health Center","MOH","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","","","","","","","","1",""
